,Event_ID,Start_INDX,Stop_INDX,t_peak,t_start,t_stop,t_rise,t_decay,Flux_peak,Equiv_Dur,S/N,CPLX_flg,MLTPK_flg,MLTPK_num,t_MLTPK,L_mltpk,MLTPK_INDX,quies,x,Flare_Duration
1,2,332.0,336.0,1683.8311823332729,1683.8284045189607,1683.8339601478178,0.0027778143121395,0.0027778145449702,0.0043590822179975,1.0394158549526924,0.8563145810289138,4.0,0.0,0.0,0.0,0.0,0.0,11337.21094,;,8.000105554237962
2,3,618.0,622.0,1684.2339653510235,1684.2325764443326,1684.2381320713266,0.0013889066908632,0.0041667203031466,0.0043958812189245,1.0213969115929984,0.6985036884700883,4.0,0.0,0.0,0.0,0.0,0.0,11377.51562,;,8.00010287137411
3,4,676.0,685.0,1684.315910847154,1684.3131330337735,1684.3256331939865,0.0027778133803622,0.0097223468324046,0.0113876989825392,4.056826548949237,1.7210595159744215,4.0,0.0,0.0,0.0,0.0,0.0,11337.41602,;,18.00023070671159
4,5,1619.0,1628.0,1685.6242606028322,1685.6228716968399,1685.6353718512332,0.0013889059923713,0.0111112484009936,0.0077672984336572,2.7327548766234604,1.3654321880735285,4.0,0.0,0.0,0.0,0.0,0.0,11342.76758,;,18.00022232644551
5,6,1655.0,1661.0,1685.674261220171,1685.6728723141787,1685.68120575013,0.0013889059923713,0.006944529959128,0.0062908839868317,1.8873550355924809,1.0656320812589029,4.0,0.0,0.0,0.0,0.0,0.0,11338.58984,;,12.000147769831528
6,7,1684.0,1691.0,1685.7159284006273,1685.7131505886423,1685.7228729305857,0.00277781198497,0.0069445299584459,0.0060728829257456,2.5394174146434185,1.2022270350641042,4.0,0.0,0.0,0.0,0.0,0.0,11347.69043,;,14.000172398518771
10,11,3126.0,3130.0,1687.7173414700178,1687.7159525647248,1687.7215081861311,0.0013889052929699,0.0041667161135592,0.0049059124426146,1.3230260067395023,0.877933851941658,4.0,0.0,0.0,0.0,0.0,0.0,11416.17383,;,8.000094825074484
15,16,4581.0,4588.0,1689.7854210426194,1689.7840321377917,1689.793754470888,0.0013889048277633,0.0083334282685428,0.0076040263036067,2.461789042036917,1.319218257551195,4.0,0.0,0.0,0.0,0.0,0.0,11343.05957,;,14.000159658680786
17,18,4731.0,4735.0,1689.993756746297,1689.9923678417013,1689.9979234603138,0.0013889045958422,0.0041667140167192,0.0118635243144348,2.4562899600180272,1.4453810500084456,4.0,0.0,0.0,0.0,0.0,0.0,11408.03125,;,8.00009080208838
21,22,6982.0,6989.0,1693.1618477497168,1693.1590699407593,1693.1687922719923,0.0027778089574895,0.0069445222757167,0.006982379464868,2.297973755082297,1.1897973382068086,4.0,0.0,0.0,0.0,0.0,0.0,11371.4834,;,14.000156975489517
22,23,7013.0,7017.0,1693.203514883142,1693.202125978779,1693.20768159646,0.0013889043630115,0.0041667133182273,0.0095609835704956,2.1260190490013344,1.360186044333369,4.0,0.0,0.0,0.0,0.0,0.0,11347.2041,;,8.000089460656454
23,26,8981.0,8985.0,1695.9382699214239,1695.9368810135695,1695.9424366442895,0.0013889078541069,0.0041667228656479,0.0033075091864505,0.8094872752591411,0.6871223042525344,4.0,0.0,0.0,0.0,0.0,0.0,11394.23047,;,8.000108236774395
26,29,10797.0,10804.0,1699.4355138120131,1699.43412491906,1699.4438471704325,0.0013888929529458,0.0083333584193497,0.0179593576872417,4.488736461414055,1.8959488718974928,4.0,0.0,0.0,0.0,0.0,0.0,11361.59082,;,14.00004197643284
27,31,11449.0,11453.0,1700.3410719529295,1700.339683060442,1700.3452386310903,0.0013888924877392,0.0041666781608001,0.007808694385099,1.9678969292289352,1.2310346244991155,4.0,0.0,0.0,0.0,0.0,0.0,11330.50781,;,8.000021733569156
28,32,11465.0,11469.0,1700.3646831282483,1700.361905343039,1700.3674609136897,0.0027777852092186,0.0027777854411397,0.0035445914434602,0.7096734978670999,0.5820064049938628,4.0,0.0,0.0,0.0,0.0,0.0,11330.90918,;,8.000021736843337
29,33,11669.0,11673.0,1700.6480172192712,1700.6452394340631,1700.6507950042478,0.0027777852080817,0.0027777849766153,0.0049624594424453,1.5054346350781302,0.9914879125668934,4.0,0.0,0.0,0.0,0.0,0.0,11365.80371,;,8.000021065963665
31,35,11745.0,11752.0,1700.7521841586483,1700.7507952661613,1700.7605175135755,0.0013888924872845,0.00833335492689,0.0140402894687738,4.370064687367959,1.830380565430928,4.0,0.0,0.0,0.0,0.0,0.0,11445.3457,;,14.000036276411265
32,38,12590.0,12594.0,1701.9424648383736,1701.9410759463508,1701.946631514672,0.0013888920229874,0.0041666762981549,0.0051474608519086,1.0774083483890236,0.7990862580697528,4.0,0.0,0.0,0.0,0.0,0.0,11439.16016,;,8.000018382444978
34,41,14247.0,14251.0,1704.249413845216,1704.2480249541254,1704.2535805189543,0.0013888910907554,0.0041666737383821,0.0048705586649468,1.3530201135367717,1.007647007423781,4.0,0.0,0.0,0.0,0.0,0.0,11435.41797,;,8.000013353630493
35,42,14319.0,14323.0,1704.349414014698,1704.3480251236078,1704.3535806884363,0.0013888910900732,0.0041666737386095,0.0068349974823301,1.7895555435665187,1.1665520120520816,4.0,0.0,0.0,0.0,0.0,0.0,11445.85938,;,8.000013352975657
37,44,15519.0,15523.0,1706.0299721640376,1706.0285832731793,1706.0341388366105,0.0013888908583795,0.0041666725728646,0.0068748982132208,1.8579872739797003,1.2012001005514577,4.0,0.0,0.0,0.0,0.0,0.0,11428.77637,;,8.000011340991477
38,47,16166.0,16175.0,1706.9369179040843,1706.935529013226,1706.9480290311803,0.0013888908583795,0.0111111270957736,0.0093616676264535,4.112360435378001,1.7237632794512925,4.0,0.0,0.0,0.0,0.0,0.0,11328.79199,;,18.00002585430775
40,50,17320.0,17324.0,1708.5396982666707,1708.5383093751143,1708.54386494134,0.0013888915564166,0.0041666746692499,0.0081605119626719,1.9142731640203057,1.2114407826965357,4.0,0.0,0.0,0.0,0.0,0.0,11401.1543,;,8.000015364959836
41,51,17798.0,17807.0,1709.2049775159455,1709.2021997312027,1709.2146997628952,0.0027777847431025,0.0097222469494227,0.0101906430505576,4.7550807459239,1.9089844897164736,4.0,0.0,0.0,0.0,0.0,0.0,11347.7627,;,18.000045637236326
42,53,7318.0,7346.0,1693.6368530934833,1693.6257418567232,1693.6646311856152,0.0111112367599162,0.027778092131939,0.0098019500918977,5.472223522450346,1.651722951993824,2.0,0.0,0.0,0.0,0.0,0.0,11412.11816,;,56.00063360459899
46,57,15792.0,15842.0,1706.4230282817375,1706.41469493659,1706.4841394799555,0.0083333451475482,0.0611111982179864,0.0168632654236141,15.736291401385404,3.190068238506323,2.0,0.0,0.0,0.0,0.0,0.0,11330.7334,;,100.00014244636986
47,58,18488.0,18495.0,1710.1660917403387,1710.16053616317,1710.170258423158,0.0055555771689342,0.0041666828190046,0.011766306506885,1.9106085867277711,1.1520109103480898,4.0,0.0,0.0,0.0,0.0,0.0,11402.10352,;,14.000054382631788
52,63,745.0,751.0,1684.4131343124548,1684.4089675926175,1684.4173010322943,0.0041667198374853,0.0041667198393043,0.0068976100823001,1.6627849018101537,1.0658470097633597,4.0,0.0,0.0,0.0,0.0,0.0,11341.59277,;,12.000153134576976
54,65,2460.0,2468.0,1686.7964971307883,1686.7909415082188,1686.8020527533595,0.0055556225695454,0.0055556225711371,0.0038839975495045,0.9671213610194712,0.7221671877550024,4.0,0.0,0.0,0.0,0.0,0.0,11324.02051,;,16.00019300258282
55,66,2676.0,2684.0,1687.097889643956,1687.0909451163252,1687.1020563605355,0.0069445276308215,0.0041667165794479,0.0055545254682593,1.767132092049354,1.0303669870698322,4.0,0.0,0.0,0.0,0.0,0.0,11405.33496,;,16.000191662787984
56,67,8250.0,8258.0,1694.9243680723334,1694.9202013552876,1694.9313126008951,0.0041667170457913,0.0069445285616894,0.009661883877384,1.7182092763666617,0.9915799525736596,4.0,0.0,0.0,0.0,0.0,0.0,11388.37988,;,16.000193674772163
57,68,8317.0,8326.0,1695.017424759357,1695.0132580418472,1695.0271471003698,0.004166717509861,0.0097223410127754,0.0104602196434899,3.511367652216518,1.5999910241895356,4.0,0.0,0.0,0.0,0.0,0.0,11330.46094,;,20.00024427259632
58,69,9316.0,9320.0,1697.359117489691,1697.3563396981972,1697.3618952811867,0.002777791493827,0.0027777914956459,0.0065094366153381,1.386788012550536,1.0385817024327215,4.0,0.0,0.0,0.0,0.0,0.0,11353.55859,;,8.00003950484097
60,71,14024.0,14028.0,1703.941079976258,1703.93830219361,1703.9438577589049,0.0027777826480815,0.0027777826467172,0.005582736065376,1.2739224155318345,0.956434183951766,4.0,0.0,0.0,0.0,0.0,0.0,11321.25977,;,8.000014024510165
61,1,235.0,241.0,1711.6966450683974,1711.695256187564,1711.7035894732635,0.0013888808334741,0.0069444048663172,0.0056581857501618,2.42523454650588,1.3386716939161247,4.0,0.0,0.0,0.0,0.0,0.0,10882.09473,;,11.99993140737206
62,3,1285.0,1289.0,1713.1619135543376,1713.1605246746678,1713.1660801931127,0.0013888796697756,0.0041666387753594,0.009120518761484,2.0356207205920205,1.2855728861124902,4.0,0.0,0.0,0.0,0.0,0.0,11010.50488,;,7.999946560667013
65,10,4307.0,4343.0,1717.3993828762827,1717.3868829729922,1717.4368825861527,0.0124999032907454,0.0374997098697349,0.0100882461884898,20.862800332820488,3.4509663819002734,2.0,0.0,0.0,0.0,0.0,0.0,10996.88965,;,71.99944295109162
67,12,4431.0,4435.0,1717.560492738918,1717.559103860645,1717.5646593730366,0.0013888782727918,0.0041666341187465,0.0062340342959276,1.8146040289458565,1.154392803578131,4.0,0.0,0.0,0.0,0.0,0.0,10879.32324,;,7.9999378438151325
69,15,6497.0,6507.0,1720.4563030278248,1720.453525272444,1720.4674140500488,0.0027777553807482,0.0111110222239859,0.013077373355203,5.551615864813254,2.093741752997764,4.0,0.0,0.0,0.0,0.0,0.0,10915.59375,;,19.999839750817046
70,16,6752.0,6761.0,1720.8118557403748,1720.8090779847607,1720.8215778850242,0.0027777556138062,0.0097221446494586,0.0109887546142692,5.016405667201028,1.9563610095769508,4.0,0.0,0.0,0.0,0.0,0.0,10973.80078,;,17.99985637942882
71,17,7767.0,7777.0,1722.2285114313931,1722.2257336741488,1722.2396224603683,0.0027777572443028,0.0111110289753924,0.0083841646254922,6.1688340735451925,2.0267805073036667,4.0,0.0,0.0,0.0,0.0,0.0,10926.95215,;,19.99985215603374
72,18,8218.0,8225.0,1722.8535069879963,1722.8521181085596,1722.86184026485,0.001388879436945,0.0083332768535911,0.0081375594840802,2.8265831823971634,1.4001843482182084,4.0,0.0,0.0,0.0,0.0,0.0,10909.93848,;,13.999905058044533
73,22,9489.0,9498.0,1725.7340339640039,1725.7284784949175,1725.7409783001858,0.0055554690864028,0.0069443361819594,0.008059891055586,5.102371040964984,1.9585293688763097,4.0,0.0,0.0,0.0,0.0,0.0,10954.98438,;,17.999719586441643
74,23,9559.0,9565.0,1725.8312546687011,1725.8284769345069,1725.8368101375536,0.0027777341945239,0.0055554688522079,0.0183330382874395,4.743930929484113,2.0113626339403448,4.0,0.0,0.0,0.0,0.0,0.0,10884.79492,;,11.999812387293787
75,27,10586.0,10595.0,1727.2798426356007,1727.2770649028053,1727.2895647001571,0.0027777327954936,0.0097220645566267,0.0070709021738415,3.706059572041749,1.588309555299232,4.0,0.0,0.0,0.0,0.0,0.0,10941.2627,;,17.99970818672591
76,30,10970.0,10974.0,1727.811778421247,1727.810389555082,1727.815945019744,0.0013888661649162,0.0041665984970223,0.0051736014003429,0.9166751214440532,0.7666547952929756,4.0,0.0,0.0,0.0,0.0,0.0,10899.11914,;,7.99986911319138
77,32,11504.0,11508.0,1728.5575995018623,1728.5562106359296,1728.561766099893,0.0013888659327677,0.0041665980306789,0.0068855647160387,1.3858757173203238,0.9339618306554278,4.0,0.0,0.0,0.0,0.0,0.0,11013.53809,;,7.999868107363
78,33,11594.0,11604.0,1728.6825974360409,1728.681208570108,1728.6950972294349,0.0013888659327677,0.0124997933939994,0.0188206711188208,6.837609231458564,2.4472108418674,4.0,0.0,0.0,0.0,0.0,0.0,10980.26367,;,19.9996694305446
79,34,11892.0,11898.0,1729.1034237889796,1729.1020349232797,1729.110368117944,0.001388865699937,0.0069443289644369,0.0043857586811265,1.241917896545616,0.8531539474229451,4.0,0.0,0.0,0.0,0.0,0.0,10956.24121,;,11.999800316698384
83,39,13756.0,13763.0,1731.714490795848,1731.7131019308467,1731.722823986555,0.0013888650009903,0.0083331907073898,0.0222765269270624,6.393271316010984,2.3176227595895025,4.0,0.0,0.0,0.0,0.0,0.0,10922.53223,;,13.999760220067401
84,40,14333.0,14337.0,1732.5158659338056,1732.5144770688044,1732.5200325288104,0.0013888650014451,0.0041665950045626,0.0060865984924014,1.69985885719032,1.13329886679712,4.0,0.0,0.0,0.0,0.0,0.0,10884.74414,;,7.999862408651097
85,41,15110.0,15114.0,1733.6047360758419,1733.6033472108395,1733.608902670847,0.0013888650023546,0.0041665950052447,0.0049895191565984,1.3098743596782028,0.961730306287376,4.0,0.0,0.0,0.0,0.0,0.0,10907.32812,;,7.999862410943024
86,42,15254.0,15262.0,1733.8061214994211,1733.8047326344204,1733.8172324194325,0.001388865000763,0.0111109200113333,0.0070340034513247,3.0729821526712144,1.4338831767925548,4.0,0.0,0.0,0.0,0.0,0.0,10921.09668,;,17.999690417418606
87,43,16017.0,16026.0,1734.8713810470344,1734.869992181567,1734.882491969374,0.0013888654671064,0.0111109223396397,0.0448469893086844,11.826958421163043,3.2293549622756,4.0,0.0,0.0,0.0,0.0,0.0,10881.58496,;,17.9996944420418
89,45,16396.0,16403.0,1735.3977610539484,1735.396372188481,1735.4060942479155,0.0013888654673337,0.0083331939670188,0.0204337002101497,5.270059992459549,1.9652228233710467,4.0,0.0,0.0,0.0,0.0,0.0,10900.55176,;,13.999765585467685
90,46,16409.0,16413.0,1735.417205173049,1735.4144274416497,1735.4199829042154,0.0027777313994193,0.0027777311663613,0.0044445879174905,1.034327998713807,0.7075440640632045,4.0,0.0,0.0,0.0,0.0,0.0,10905.33496,;,7.999866094723984
91,47,16582.0,16589.0,1735.657478947522,1735.6547012158896,1735.6644232769531,0.0027777316322499,0.006944329431235,0.0135163745555988,5.318841148504911,2.0912585421763707,4.0,0.0,0.0,0.0,0.0,0.0,10998.51074,;,13.999767931418319
93,49,1077.0,1085.0,1712.8771932250852,1712.8716377061744,1712.8827487439971,0.0055555189107963,0.0055555189121606,0.0063779649878556,0.2687223019415735,0.2018176530940524,4.0,0.0,0.0,0.0,0.0,0.0,10885.51855,;,15.99989446473046
94,50,1662.0,1669.0,1713.686909999151,1713.6841322405098,1713.6938543961023,0.0027777586412867,0.0069443969514396,0.0120754865096727,3.5993840281815643,1.6430534583602747,4.0,0.0,0.0,0.0,0.0,0.0,10955.27832,;,13.999904053198406
96,54,3828.0,3874.0,1716.7299435621176,1716.720221413744,1716.784109817314,0.0097221483736121,0.0541662551966056,0.0204327399607338,26.42094801467281,4.508234926186093,2.0,0.0,0.0,0.0,0.0,0.0,10922.558467753955,;,91.99930114078597
97,55,6033.0,6038.0,1719.78686396185,1719.7840862064693,1719.791030595038,0.0027777553807482,0.0041666331881061,0.005176743385422,1.073148574656798,0.73570571432108,4.0,0.0,0.0,0.0,0.0,0.0,10981.90527,;,9.999919538822724
98,56,7789.0,7794.0,1722.2576778828043,1722.2562890040658,1722.2632333975248,0.0013888787384531,0.0055555147205268,0.0141583686672195,2.4583771688760567,1.3603563259557168,4.0,0.0,0.0,0.0,0.0,0.0,10914.89551,;,9.99992658093106
