,Event_ID,Start_INDX,Stop_INDX,t_peak,t_start,t_stop,t_rise,t_decay,Flux_peak,Equiv_Dur,S/N,CPLX_flg,MLTPK_flg,MLTPK_num,t_MLTPK,L_mltpk,MLTPK_INDX,quies,x,Flare_Duration
99,57,7933.0,7938.0,1722.4590653042917,1722.456287546583,1722.463231940974,0.0027777577085999,0.0041666366823847,0.0090758750003651,2.87227295211681,1.5709545899351094,4.0,0.0,0.0,0.0,0.0,0.0,10885.14551,;,9.999927923017822
100,58,8623.0,8653.0,1723.432669964398,1723.4146145163509,1723.4562809357797,0.0180554480471073,0.0236109713816859,0.0141228389608408,16.12976521819265,3.5157448395345305,2.0,0.0,0.0,0.0,0.0,0.0,10921.9873,;,59.999643977462256
101,59,9302.0,9325.0,1725.475704620423,1725.4562604731518,1725.4909821643105,0.0194441472710878,0.0152775438875778,0.0062712659932564,11.111889912299068,2.8073688602147806,2.0,0.0,0.0,0.0,0.0,0.0,10914.271950702416,;,49.999235268478515
105,63,10458.0,10467.0,1727.103456602076,1727.0992900026467,1727.1117898006983,0.004166599429027,0.0083331986222674,0.0152445258118089,3.6991033618845064,1.6200978545749092,4.0,0.0,0.0,0.0,0.0,0.0,10922.634484899794,;,17.999709194191382
106,64,10610.0,10618.0,1727.315953161028,1727.3103976956675,1727.3215086266223,0.0055554653604304,0.0055554655946253,0.0117947066645694,2.2899451258985706,1.1976047097106466,4.0,0.0,0.0,0.0,0.0,0.0,10930.593137092008,;,15.999740574952739
107,65,10703.0,10708.0,1727.4437288640922,1727.4395622651296,1727.4465065968886,0.0041665989624562,0.0027777327964031,0.0101805424911816,1.334581862775952,0.8920718893771634,4.0,0.0,0.0,0.0,0.0,0.0,10928.331652031711,;,9.99983773308486
110,68,11266.0,11271.0,1728.2270493926424,1728.2228827943784,1728.231215990674,0.0041665982641916,0.004166598031361,0.0065661457455723,1.6153519778806138,1.0281986606314817,4.0,0.0,0.0,0.0,0.0,0.0,10880.23438,;,11.99980266559578
111,69,12260.0,12266.0,1729.6395259524031,1729.6339704898355,1729.6423036835688,0.0055554625673722,0.0027777311656791,0.0041903000110508,0.2043852398118771,0.1856528281777696,4.0,0.0,0.0,0.0,0.0,0.0,10916.76758,;,11.999798975921294
113,71,12707.0,12716.0,1730.2617377149493,1730.2561822530813,1730.2686820422844,0.0055554618679707,0.0069443273350771,0.0049020997467859,2.250039878498757,1.1853975141879425,4.0,0.0,0.0,0.0,0.0,0.0,10927.6709,;,17.99969645238889
114,72,13367.0,13370.0,1731.1742222432374,1731.1728333780038,1731.176999973706,0.0013888652335936,0.0027777304687788,0.0068485372511487,1.0855946887238084,0.8667364549710287,4.0,0.0,0.0,0.0,0.0,0.0,10912.58301,;,5.999897811088886
117,75,1930.0,1940.0,1714.0605185343622,1714.0563518967504,1714.0702406892556,0.0041666376118883,0.0097221548935522,0.0095827317155225,3.215824567878271,1.4852899925405214,4.0,0.0,0.0,0.0,0.0,0.0,10890.62598,;,19.99986120750691
118,76,3777.0,3786.0,1716.6563330092413,1716.6493886174135,1716.6618885227983,0.0069443918278012,0.0055555135570557,0.0039199034950522,0.857497759460478,0.5994521930679501,4.0,0.0,0.0,0.0,0.0,0.0,10922.183629613295,;,17.99986375419394
122,80,11081.0,11090.0,1727.9701091641211,1727.964553699692,1727.9770534949496,0.0055554644291078,0.0069443308284463,0.0043503369069273,2.097258008803182,1.1235664828842662,4.0,0.0,0.0,0.0,0.0,0.0,11005.7627,;,17.99970517087786
123,81,11318.0,11322.0,1728.2992704269643,1728.2964926948669,1728.3020481590636,0.0027777320976838,0.0027777320990481,0.0059104452035797,0.1257748996242304,0.1500774937231387,4.0,0.0,0.0,0.0,0.0,0.0,10900.10059,;,7.999868443293963
124,82,11986.0,11993.0,1729.2436992314213,1729.2436992314213,1729.2548101574855,0.0,0.0111109260642479,0.0041124983324145,1.7174798355962064,1.0457561690098611,4.0,0.0,0.0,0.0,0.0,0.0,10996.86914,;,15.999733532516984
125,83,12487.0,12494.0,1729.9534095745048,1729.950631843339,1729.9603539020732,0.0027777311659065,0.0069443275685899,0.0045305566731804,1.318120918718322,0.8102272776821867,4.0,0.0,0.0,0.0,0.0,0.0,10918.24219,;,13.999764577347378
126,84,13107.0,13116.0,1730.8186727337215,1730.8117284073176,1730.8242281951252,0.0069443264037545,0.0055554614036737,0.0045749000840909,1.5313350124860496,0.871081901652914,4.0,0.0,0.0,0.0,0.0,0.0,10903.48242,;,17.999694443024055
127,85,13639.0,13642.0,1731.5533824400832,1731.5506047098472,1731.5547713053174,0.0027777302359482,0.0013888652342757,0.0053364345772929,0.894937589267789,0.8355440958529314,4.0,0.0,0.0,0.0,0.0,0.0,11023.95605,;,5.999897477122431
128,86,14676.0,14684.0,1732.9936354887116,1732.99085775871,1733.0019686784879,0.0027777300015259,0.0083331897762946,0.003866771740547,1.682614160785179,0.9681323086306832,4.0,0.0,0.0,0.0,0.0,0.0,10888.03809,;,15.999724480061559
129,87,15771.0,15776.0,1734.5297202005659,1734.52694247033,1734.5338867960347,0.0027777302359482,0.0041665954688597,0.0045301137178375,1.1028051524839952,0.865969968572019,4.0,0.0,0.0,0.0,0.0,0.0,11007.02051,;,9.999829014923307
130,88,16160.0,16165.0,1735.0727665234679,1735.0685999272991,1735.0755442541692,0.0041665961687158,0.0027777307013821,0.0034053028522943,0.3534761627943974,0.3175560286224107,4.0,0.0,0.0,0.0,0.0,0.0,11003.25879,;,9.999830692941032
131,89,16167.0,16171.0,1735.0824885812715,1735.078321985103,1735.0838774467395,0.0041665961684885,0.0013888654680159,0.0029334052146916,0.3409237640243896,0.3564249582229075,4.0,0.0,0.0,0.0,0.0,0.0,11012.22559,;,7.9998647565662395
132,90,17487.0,17493.0,1736.9157922267511,1736.911625622899,1736.919958830603,0.0041666038521271,0.0041666038518997,0.0078219285300963,1.3062703717005473,0.861202506555705,4.0,0.0,0.0,0.0,0.0,0.0,11023.94629,;,11.999819093798578
3,5,3029.0,3033.0,2424.2017818794448,2424.200392978661,2424.205948581558,0.0013889007832404,0.0041667021132525,0.0106903052478342,2.0350712539939426,1.283577790528124,4.0,0.0,0.0,0.0,0.0,0.0,11318.11621,;,8.000068171604653
4,6,3741.0,3747.0,2425.1906790857024,2425.189290185386,2425.19762358775,0.0013889003157601,0.0069445020476451,0.0043747114553128,1.7155922244476574,1.045631861828386,4.0,0.0,0.0,0.0,0.0,0.0,11323.33105,;,12.000099403958302
5,7,3873.0,3879.0,2425.3740139384245,2425.372625038108,2425.380958440239,0.0013889003162149,0.0069445018143597,0.0051635712077673,0.7737787212208721,0.5410451566818815,4.0,0.0,0.0,0.0,0.0,0.0,11309.27734,;,12.000099068682175
6,8,4027.0,4034.0,2425.592071291375,2425.5865156901086,2425.596237992325,0.0055556012657689,0.0041667009500088,0.0043396826951344,2.0366794137733164,1.131233357108712,4.0,0.0,0.0,0.0,0.0,0.0,11298.63184,;,14.000115191374789
7,9,4102.0,4108.0,2425.692072112068,2425.690683211751,2425.699016613418,0.0013889003166696,0.0069445013500626,0.0148385057810032,3.6249588668666823,1.7215895463044475,4.0,0.0,0.0,0.0,0.0,0.0,11310.92676,;,12.00009840009443
8,10,4623.0,4627.0,2426.4254113955967,2426.424022495513,2426.429578095848,0.001388900083839,0.0041667002506074,0.0082449767529939,1.319077814033206,0.9317389755292688,4.0,0.0,0.0,0.0,0.0,0.0,11308.20312,;,8.000064482257585
9,13,5013.0,5019.0,2426.9684712796534,2426.967082379801,2426.9754157791394,0.0013888998519178,0.0069444994860532,0.0029819224499443,0.6229840779322583,0.5330323217468903,4.0,0.0,0.0,0.0,0.0,0.0,11329.38672,;,12.000095047333161
10,14,5315.0,5322.0,2427.389307922585,2427.386530123116,2427.3962524213734,0.0027777994687312,0.0069444987889256,0.0047831245930165,2.2101172144517505,1.1671193807129443,4.0,0.0,0.0,0.0,0.0,0.0,11303.67383,;,14.000109491025796
11,16,5400.0,5406.0,2427.5059755000448,2427.5045866004266,2427.512919998601,0.0013888996181777,0.0069444985560949,0.0036599593679053,0.7480952331661989,0.5611939406542688,4.0,0.0,0.0,0.0,0.0,0.0,11330.5332,;,12.000093370952527
12,18,5563.0,5604.0,2427.7420884458174,2427.7309772486406,2427.787922134144,0.0111111971773425,0.0458336883257289,0.015706434132859,37.45172402968893,5.630821254486451,2.0,0.0,0.0,0.0,0.0,0.0,11317.6123,;,82.00063512507768
13,19,6040.0,6049.0,2428.3948712385813,2428.393482339196,2428.405982434361,0.001388899385347,0.0111111957799039,0.005959054841271,2.7923300827674087,1.3673978245944505,4.0,0.0,0.0,0.0,0.0,0.0,11319.78027,;,18.00013703730656
14,21,8569.0,8575.0,2431.9073973902605,2431.906008491341,2431.9143418860226,0.0013888989196857,0.0069444957621272,0.0068079478983542,1.1066763304253917,0.8087653556592573,4.0,0.0,0.0,0.0,0.0,0.0,11323.84668,;,12.000088341810624
15,22,8605.0,8611.0,2431.957397758116,2431.956008859196,2431.964342253645,0.001388898919231,0.006944495530206,0.0065067392391823,2.595056371442151,1.4010921565712575,4.0,0.0,0.0,0.0,0.0,0.0,11324.76953,;,12.000088006534497
16,23,8722.0,8731.0,2432.121287846688,2432.118510048848,2432.131010139823,0.0027777978393715,0.0097222931353826,0.0107053932170798,4.515877502573334,1.9147588089821,4.0,0.0,0.0,0.0,0.0,0.0,11307.27344,;,18.000131004300783
17,24,9109.0,9115.0,2433.776850757122,2433.77407297884,2433.7824063132184,0.0027777782815974,0.0055555560966241,0.0042291597346644,1.4451378460342343,0.9486980557631548,4.0,0.0,0.0,0.0,0.0,0.0,11317.73828,;,12.00000150463893
19,26,9494.0,9501.0,2434.3115727950167,2434.3087950190647,2434.318517235132,0.0027777759523815,0.0069444401151486,0.0188296144672687,5.9480864962454,2.244790974365094,4.0,0.0,0.0,0.0,0.0,0.0,11304.76953,;,13.999991136588505
20,27,9619.0,9628.0,2434.4837949013104,2434.482406013334,2434.4949060044246,0.0013888879761907,0.0111111031142173,0.023832678183537,6.383581926547929,2.2751763984678215,4.0,0.0,0.0,0.0,0.0,0.0,11288.9248,;,17.999987170187524
22,29,10194.0,10220.0,2435.296294268386,2435.282405390949,2435.3185164725182,0.013888877437239,0.0222222041320492,0.0138835373885148,21.618543509570078,4.019078204594199,2.0,0.0,0.0,0.0,0.0,0.0,11312.73828,;,51.99995745977503
23,30,10252.0,10300.0,2435.3671275440115,2435.362960880781,2435.429627492943,0.0041666632300803,0.0624999489314177,0.0111961520271911,26.221530817486336,4.054367352574194,2.0,0.0,0.0,0.0,0.0,0.0,11310.53418,;,95.99992151321203
24,32,11036.0,11045.0,2436.4532377302394,2436.4518488427284,2436.4643488314905,0.0013888875109842,0.0111111012511174,0.0061309991748682,2.349560960850436,1.1788536133719896,4.0,0.0,0.0,0.0,0.0,0.0,11331.47852,;,17.999983817426255
25,34,11224.0,11230.0,2436.715737490281,2436.7129597150247,2436.7212930407904,0.0027777752557085,0.0055555505095981,0.00531422650846,2.188613617701221,1.1706727346628387,4.0,0.0,0.0,0.0,0.0,0.0,11311.85547,;,11.999989102696418
26,35,11842.0,11846.0,2437.574069969432,2437.571292194644,2437.576847744221,0.0027777747882283,0.0027777747895925,0.004990757784608,1.3241552143096942,1.004904149751822,4.0,0.0,0.0,0.0,0.0,0.0,11310.31445,;,7.999991391407093
27,36,11854.0,11860.0,2437.589347730888,2437.5879588433763,2437.596292167977,0.0013888875118937,0.006944437088805,0.0042941774691589,1.4291771906470163,0.964461143830296,4.0,0.0,0.0,0.0,0.0,0.0,11316.70312,;,11.999987425006111
28,37,11939.0,11946.0,2437.708792046112,2437.706014271556,2437.715736482968,0.0027777745558524,0.0069444368564291,0.0090970199209916,3.1217251604824714,1.5302285571123533,4.0,0.0,0.0,0.0,0.0,0.0,11312.66406,;,13.999984433685313
29,38,12515.0,12525.0,2438.507402220971,2438.5060133339257,2438.5199022053084,0.0013888870453229,0.0124999843374098,0.0063451377438496,3.0059541297629417,1.3881069740178598,4.0,0.0,0.0,0.0,0.0,0.0,11317.01367,;,19.999974791135173
30,39,13279.0,13288.0,2439.572678531328,2439.567122984079,2439.5796229653897,0.0055555472490596,0.0069444340615519,0.0094937747543841,4.2437653251214025,1.7761575870467314,4.0,0.0,0.0,0.0,0.0,0.0,11321.64258,;,17.999973087280523
31,40,13372.0,13379.0,2439.7018450020846,2439.6962894550684,2439.70601166229,0.0055555470166837,0.0041666602051009,0.0040925951168761,1.9402818153258812,1.1254820271491153,4.0,0.0,0.0,0.0,0.0,0.0,11314.53027,;,13.999978399369866
32,42,14399.0,14405.0,2441.1337870080965,2441.1323981217506,2441.1407314395974,0.0013888863459215,0.0069444315008695,0.0022393473355704,0.5530328060698769,0.4905808577900837,4.0,0.0,0.0,0.0,0.0,0.0,11336.73828,;,11.999977699379087
35,45,15945.0,15949.0,2443.2837825173046,2443.281004746009,2443.2865602888346,0.0027777712957686,0.0027777715299635,0.0082299242612303,1.8738991702266288,1.2240929539564391,4.0,0.0,0.0,0.0,0.0,0.0,11311.77148,;,7.99998166905425
37,47,17778.0,17784.0,2445.828221023972,2445.826832138323,2445.8351654519806,0.0013888856487938,0.0069444280093194,0.0229933196563505,3.8612209090919833,1.794079872513132,4.0,0.0,0.0,0.0,0.0,0.0,11302.88672,;,11.999971667028149
38,48,17864.0,17871.0,2445.9490540714123,2445.946276300349,2445.9559984994216,0.0027777710633927,0.0069444280093194,0.0097564438486469,2.5856515567802614,1.3473277490017816,4.0,0.0,0.0,0.0,0.0,0.0,11336.28125,;,13.999966664705426
39,49,17937.0,17943.0,2446.051831602632,2446.0476649459206,2446.0559982591108,0.004166656711277,0.0041666564789011,0.0034794234246299,0.7517138018143038,0.581530014869019,4.0,0.0,0.0,0.0,0.0,0.0,11323.28613,;,11.99997099385655
41,51,1311.0,1319.0,2421.818427845292,2421.8142611420135,2421.8253723508324,0.0041667032778605,0.0069445055405595,0.0046830038209056,2.444294253220841,1.2649453276802658,4.0,0.0,0.0,0.0,0.0,0.0,11309.66211,;,16.00014069917961
42,52,2873.0,2880.0,2423.9892800667585,2423.9837244636287,2423.993446768872,0.0055556031293236,0.0041667021137073,0.0051642098226826,1.1769201715519375,0.766483854921346,4.0,0.0,0.0,0.0,0.0,0.0,11324.05273,;,14.000119550619274
43,53,4242.0,4251.0,2425.8920737469343,2425.885129245817,2425.8976293477335,0.0069445011167772,0.0055556007996529,0.0025299579814344,-0.1502483279624218,0.1081751897944008,4.0,0.0,0.0,0.0,0.0,0.0,11308.29102,;,18.0001467596594
44,54,4812.0,4821.0,2426.6920801960623,2426.6879134960445,2426.700413595867,0.0041667000177767,0.0083333998045418,0.0086818926321151,2.693961106347691,1.3553122357939806,4.0,0.0,0.0,0.0,0.0,0.0,11316.58008,;,18.000143744138768
45,55,5443.0,5453.0,2427.565698187577,2427.564309287727,2427.5781982848384,0.0013888998500988,0.0125000972611815,0.004229596271638,1.7933994640001685,0.9887096092231376,4.0,0.0,0.0,0.0,0.0,0.0,11330.88965,;,20.00015584024368
46,56,6090.0,6095.0,2428.4657051114164,2428.462927312413,2428.4698718098048,0.00277779900307,0.0041666983888717,0.0041156108230144,1.176459315007323,0.803210316713864,4.0,0.0,0.0,0.0,0.0,0.0,11333.69531,;,10.000076244396041
47,57,10134.0,10142.0,2435.203238788394,2435.19768323742,2435.208794339602,0.0055555509743499,0.0055555512071805,0.0044198951088938,1.8164582909610605,1.0950565390311722,4.0,0.0,0.0,0.0,0.0,0.0,11302.00879,;,15.999987142058671
49,59,11061.0,11084.0,2436.4921265842686,2436.486571033526,2436.5185154490705,0.0055555507424287,0.0263888648019019,0.0118407248996355,8.70470668662466,2.393502536040254,2.0,0.0,0.0,0.0,0.0,0.0,11317.58105,;,45.9999583838362
